year	age0	age1	age2	age3	age4	pData
2004	6	11	17	4	10	0.979591836734694
2005	26	5	10	10	7	0.878787878787879
2006	24	10	3	7	10	1
2007	34	8	5	0	5	1
2008	22	17	8	2	6	0.964912280701754
2009	4	1	6	1	3	0.5
2010	50	8	5	6	5	0.831460674157303
2011	58	26	3	2	3	0.844036697247706
2012	3	14	3	1	2	0.184
2013	1	3	10	3	2	0.345454545454545
2014	9	1	3	4	3	0.4
2015	19	8	2	1	7	0.406593406593407
2016	9	11	4	0	2	0.222222222222222
2017	3	5	11	1	1	0.411764705882353
2018	17	1	2	3	2	0.25
