"Parameter","Year","Age","ParamName","median","lCI","uCI"
"Imm[14]",2017,NA,"Imm",6,0,44
"Imm[15]",2018,NA,"Imm",44,0,402
"Imm[16]",2019,NA,"Imm",58,1,811.024999999998
"Imm[17]",2020,NA,"Imm",19,0,139
"Imm[18]",2021,NA,"Imm",21,0,141
"Imm[19]",2022,NA,"Imm",120,9,453
"Imm[1]",2004,NA,"Imm",0,0,0
"Imm[20]",2023,NA,"Imm",134,2,733
"Imm[21]",2024,NA,"Imm",470.5,87,547
"Imm[2]",2005,NA,"Imm",17,0,111
"Imm[3]",2006,NA,"Imm",19,0,88
"Imm[4]",2007,NA,"Imm",173,32,546
"Imm[5]",2008,NA,"Imm",7,0,58
"Imm[6]",2009,NA,"Imm",10,0,73
"Imm[7]",2010,NA,"Imm",171,46,455.024999999998
"Imm[8]",2011,NA,"Imm",256,6,974.024999999998
"Imm[9]",2012,NA,"Imm",4,0,79
"L[1, 10]",2013,"0","L",0,0,0
"L[1, 11]",2014,"0","L",0,0,0
"L[1, 12]",2015,"0","L",0,0,0
"L[1, 13]",2016,"0","L",0,0,0
"L[1, 14]",2017,"0","L",0,0,0
"L[1, 15]",2018,"0","L",0,0,0
"L[1, 16]",2019,"0","L",0,0,0
"L[1, 17]",2020,"0","L",0,0,0
"L[1, 18]",2021,"0","L",0,0,0
"L[1, 19]",2022,"0","L",0,0,0
"L[1, 1]",2004,"0","L",0,0,0
"L[1, 20]",2023,"0","L",0,0,0
"L[1, 21]",2024,"0","L",0,0,0
"L[1, 2]",2005,"0","L",0,0,0
"L[1, 3]",2006,"0","L",0,0,0
"L[1, 4]",2007,"0","L",0,0,0
"L[1, 5]",2008,"0","L",0,0,0
"L[1, 6]",2009,"0","L",0,0,0
"L[1, 7]",2010,"0","L",0,0,0
"L[1, 8]",2011,"0","L",0,0,0
"L[1, 9]",2012,"0","L",0,0,0
"L[2, 10]",2013,"1","L",23,4,75
"L[2, 11]",2014,"1","L",22,3,71
"L[2, 12]",2015,"1","L",130,56.975,294
"L[2, 13]",2016,"1","L",266,132,596
"L[2, 14]",2017,"1","L",52,17,132
"L[2, 15]",2018,"1","L",75,25,190
"L[2, 16]",2019,"1","L",156,60,391
"L[2, 17]",2020,"1","L",88,33,237
"L[2, 18]",2021,"1","L",31,8,84
"L[2, 19]",2022,"1","L",54,17,135
"L[2, 1]",2004,"1","L",0,0,0
"L[2, 20]",2023,"1","L",244,92,639
"L[2, 21]",2024,"1","L",99,23,300
"L[2, 2]",2005,"1","L",17,3,44
"L[2, 3]",2006,"1","L",72,30,166
"L[2, 4]",2007,"1","L",69,22,185
"L[2, 5]",2008,"1","L",205,102,452
"L[2, 6]",2009,"1","L",30,8,85
"L[2, 7]",2010,"1","L",39,12,96.0249999999978
"L[2, 8]",2011,"1","L",445,249,928
"L[2, 9]",2012,"1","L",542,298,1147
"L[3, 10]",2013,"2","L",129,49,358
"L[3, 11]",2014,"2","L",40,11,108
"L[3, 12]",2015,"2","L",30,7,90
"L[3, 13]",2016,"2","L",125,57,285
"L[3, 14]",2017,"2","L",184,86,409
"L[3, 15]",2018,"2","L",89,35,217
"L[3, 16]",2019,"2","L",66,21,171
"L[3, 17]",2020,"2","L",67,20,220
"L[3, 18]",2021,"2","L",67,23,179
"L[3, 19]",2022,"2","L",36,10,102
"L[3, 1]",2004,"2","L",0,0,0
"L[3, 20]",2023,"2","L",75,23,199
"L[3, 21]",2024,"2","L",106,28,305
"L[3, 2]",2005,"2","L",64,27,152
"L[3, 3]",2006,"2","L",21,5,55
"L[3, 4]",2007,"2","L",56,20,154
"L[3, 5]",2008,"2","L",93,40,236
"L[3, 6]",2009,"2","L",85,36,206
"L[3, 7]",2010,"2","L",36,11,91
"L[3, 8]",2011,"2","L",78,34,188.024999999998
"L[3, 9]",2012,"2","L",285,147,668
"L[4, 10]",2013,"3","L",89,33.975,245
"L[4, 11]",2014,"3","L",158,74,367
"L[4, 12]",2015,"3","L",40,11.975,115
